d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d17,d17,d17,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d15,d15,d15,d15,d15,d15
d16,d16,d16,d16,d16,d16,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d18,d18,d18,d18
d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17
d19,d20,d20,d20,d20,d19,d19,d18,d18,d18,d17,d17,d17,d16,d16,d16,d16,d16,d15,d15
d1,d4,d4,d5,d5,d6,d6,d5,d5,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6
d14,d14,d14,d13,d13,d13,d13,d5,d6,d13,d13,d14,d14,d15,d15,d15,d15,d15,d15,d15
d14,d14,d14,d13,d13,d13,d13,d13,d13,d13,d13,d14,d14,d15,d15,d15,d15,d16,d16,d16
d16,d12,d12,d11,d14,d11,d11,d13,d13,d14,d14,d15,d15,d16,d16,d17,d17,d17,d17,d17
d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d19,d19,d19,d19,d19,d19,d18,d18,d18,d18,d18,d18,d18,d18,d18,d19,d19,d19,d19,d19
d14,d14,d14,d14,d14,d14,d14,d14,d14,d15,d15,d15,d15,d16,d16,d15,d15,d14,d14,d14
d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19
d14,d14,d15,d15,d15,d16,d16,d15,d15,d15,d15,d14,d14,d14,d14,d14,d14,d14,d14,d14
